iter	RMSE
0	8.756331766
1	8.704472889
2	8.666097132
3	8.616358262
4	8.566522768
5	8.521373997
6	8.469904801
7	8.41955286
8	8.369655701
9	8.319764635
10	8.27423684
11	8.228961475
12	8.175797848
13	8.140721735
14	8.096443871
15	8.055827453
16	8.008990264
17	7.966275438
18	7.9197158
19	7.876978191
20	7.835451418
21	7.794897413
22	7.755039171
23	7.723837336
24	7.691478649
25	7.656153912
26	7.614317873
27	7.5783289
28	7.539694344
29	7.495714546
30	7.451743104
31	7.410083812
32	7.375490495
33	7.338391147
34	7.297388432
35	7.25581172
36	7.215245329
37	7.17710054
38	7.13876261
39	7.101006076
40	7.07004152
41	7.031533199
42	6.998237792
43	6.9643321
44	6.926455158
45	6.896444519
46	6.860248189
47	6.827364172
48	6.796828736
49	6.767670313
50	6.733503824
51	6.698927125
52	6.666975757
53	6.637908139
54	6.601759463
55	6.568874553
56	6.535349284
57	6.503295634
58	6.472219428
59	6.443630647
60	6.408919698
61	6.384806144
62	6.358048394
63	6.327774417
64	6.297427505
65	6.273066157
66	6.249049245
67	6.222289681
68	6.194339101
69	6.170604376
70	6.145350381
71	6.116277635
72	6.087797373
73	6.06505044
74	6.038239934
75	6.012264669
76	5.983489437
77	5.961289165
78	5.935405237
79	5.907379187
80	5.881328321
81	5.857495808
82	5.830864919
83	5.803580688
84	5.775725337
85	5.749014391
86	5.723395851
87	5.701958626
88	5.676360096
89	5.652541536
90	5.632722517
91	5.610703016
92	5.590503068
93	5.56629986
94	5.544046114
95	5.521232604
96	5.504205933
97	5.481377396
98	5.461649789
99	5.443108558
