iter	Passed	Remaining
0	1	150
1	2	117
2	3	99
3	3	94
4	4	88
5	5	83
6	5	79
7	6	75
8	7	77
9	8	76
10	9	74
11	9	72
12	10	70
13	11	70
14	12	68
15	12	67
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	23	54
30	23	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	36	39
48	37	38
49	37	37
50	39	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	53	24
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	58	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
