Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,price,ratings_average,ratings_count,release_date,unknown,outcome,user_id
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2836369188455358,0.16953212575585694,-0.14286940734709194,0.3939775710660927,0.0,0,534
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836369188455358,-0.0970117669455398,-0.7151907974170932,0.3939775710660927,0.0,1,686
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7770831269372138,-1.0565697806705676,-0.6903072587183976,0.2536201911864474,0.0,1,532
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24672310404583894,-0.4168644381872157,-0.6903072587183976,0.3939775710660927,0.0,1,624
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3443569646282856,1.1382813081947258,-0.3792630249847012,0.4641562610059153,0.0,0,577
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.24672310404583894,-0.6453306319312697,-0.652981950670354,0.5343349509457379,0.0,1,388
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3443569646282856,0.8625462467794879,-0.6903072587183976,0.6045136408855605,0.0,0,70
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7770831269372138,-0.7531198105182083,-0.2548453314912226,0.2536201911864474,0.0,1,958
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24672310404583894,-0.4770347426782238,0.5165443681683444,0.4641562610059153,0.0,0,179
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7770831269372138,0.9474051187415652,0.4792190601203008,-2.6938847862861026,0.0,1,633
